MLSNumber,StreetNumberNumeric,StreetName,City,CDOM,ListPrice,CurrentPrice,ClosePrice,PendingDate,CloseDate,SqFtTotal,SqFtLivArea,View,WaterView
MLS001,123,Main Street,Riverside,45,$525000,$525000,$510000,2023-01-10,2023-01-15,2200,2000,Mountain,No
MLS002,456,Oak Avenue,Riverside,28,$485000,$475000,$465000,2023-01-18,2023-01-25,1950,1800,City,No
MLS003,789,Pine Road,Riverside,52,$595000,$580000,$575000,2023-02-05,2023-02-12,2400,2200,Mountain,Yes
MLS004,234,Elm Street,Riverside,33,$445000,$440000,$435000,2023-02-15,2023-02-20,1800,1650,City,No
MLS005,567,Maple Drive,Riverside,67,$655000,$635000,$625000,2023-03-02,2023-03-08,2600,2400,Mountain,Yes
MLS006,890,Cedar Lane,Riverside,41,$505000,$495000,$485000,2023-03-12,2023-03-18,2100,1900,City,No
MLS007,345,Birch Court,Riverside,35,$535000,$530000,$520000,2023-03-22,2023-03-28,2250,2050,Mountain,No
MLS008,678,Spruce Way,Riverside,58,$475000,$465000,$455000,2023-04-03,2023-04-08,1900,1750,City,No
MLS009,123,Willow Street,Riverside,44,$565000,$555000,$545000,2023-04-15,2023-04-20,2350,2150,Mountain,Yes
MLS010,456,Aspen Boulevard,Riverside,29,$515000,$510000,$500000,2023-04-25,2023-05-02,2150,1950,City,No
MLS011,789,Poplar Avenue,Riverside,61,$685000,$665000,$655000,2023-05-08,2023-05-15,2700,2500,Mountain,Yes
MLS012,234,Hickory Drive,Riverside,38,$495000,$485000,$475000,2023-05-18,2023-05-25,2000,1850,City,No
MLS013,567,Chestnut Lane,Riverside,72,$625000,$605000,$595000,2023-06-01,2023-06-08,2500,2300,Mountain,Yes
MLS014,890,Walnut Court,Riverside,46,$525000,$515000,$505000,2023-06-12,2023-06-18,2200,2000,City,No
MLS015,345,Sycamore Way,Riverside,53,$575000,$565000,$555000,2023-06-22,2023-06-28,2400,2200,Mountain,No
MLS016,678,Dogwood Street,Riverside,31,$485000,$480000,$470000,2023-07-05,2023-07-10,1950,1800,City,No
MLS017,123,Magnolia Drive,Riverside,49,$595000,$585000,$575000,2023-07-15,2023-07-22,2450,2250,Mountain,Yes
MLS018,456,Redwood Avenue,Riverside,37,$515000,$505000,$495000,2023-08-02,2023-08-08,2100,1950,City,No
MLS019,789,Sequoia Boulevard,Riverside,64,$665000,$645000,$635000,2023-08-12,2023-08-18,2650,2450,Mountain,Yes
MLS020,234,Fir Lane,Riverside,42,$535000,$525000,$515000,2023-08-25,2023-09-01,2250,2050,City,No